publishedAt, title, description, url, source_name,  topic,  sentiment
2021-05-28, Pierre Poilievre vs Mark Carney: A heated exchange on pipelines, "At one point,  Poilievre accuses Carney of being a Davos elite", https://financialpost.com/commodities/energy/oil-gas/pierre-poilievre-vs-mark-carney-a-heated-exchange-on-pipelines, financialpost.com, Political Commentary, Neutral
2021-09-21, Mark Carney says net-zero plan to be ‘norm’ for public firms in coming years, Carney says 'a third to 40 per cent' of all global financial assets will be linked to a net-zero objective, https://financialpost.com/news/economy/mark-carney-says-net-zero-plan-to-be-norm-for-public-firms-in-coming-years, financialpost.com, National Development, Positive
2022-01-31, Ex-Central Bank Chief Mark Carney Adds Consulting Role to Job Portfolio, "Mark Carney,  the former head of the central banks of the U.K. and Canada and the U.N.’s point man on climate change and finance,  has taken on a new role advis...", https://www.wsj.com/articles/former-bank-of-england-chief-mark-carney-to-join-macro-advisory-partners-11643626230?mod=pls_whats_news_us_business_f, online.wsj.com, International Relations, Neutral
2022-10-20, "Mark Carney says fiscal discipline 'imperative' to combat global inflation,  instability", "Mark Carney says it's time to use prudent fiscal policy,  reduce deficits to fight global financial challenges. Read on.", https://financialpost.com/news/economy/mark-carney-fiscal-discipline-combat-inflation, financialpost.com, Federal Budget, Neutral
2023-02-28, "Mark Carney says governments,  boardrooms need to think harder about ‘when things go wrong’ with climate", National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/02/28/mark-carney-says-governments-boardrooms-need-to-think-harder-about-when-things-go-wrong-with-climate/, nationalnewswatch.com, Political Commentary, Negative
2023-05-01, Should Trudeau lead the Liberals against Poilievre? Mark Carney won’t say and this could be why, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/04/30/should-trudeau-lead-the-liberals-against-poilievre-mark-carney-wont-say-and-this-could-be-why/, nationalnewswatch.com, Leadership Campaign, Neutral
2023-08-21, Mark Carney to lead Bloomberg's board amid overhaul, Michael Bloomberg has appointed a CEO to his Bloomberg empire and installed a board of directors headed by Mark Carney. Keep reading, https://financialpost.com/financial-times/mark-carney-lead-bloomberg-board-overhaul, financialpost.com, Political Commentary, Neutral
2023-09-29, Mark Carney jumpstarts Trudeau death watch, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/09/29/mark-carney-jumpstarts-trudeau-death-watch/, nationalnewswatch.com, Leadership Campaign, Negative
2023-10-05, Fed up with career politicians? Mark Carney could be the cure for that, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/10/05/fed-up-with-career-politicians-mark-carney-could-be-the-cure-for-that/, nationalnewswatch.com, Leadership Campaign, Positive
2023-10-07, Sabrina Maddeaux: Mark Carney is not cut out for the top job, He's just another elitist who has no idea what life is like for the average Canadian, https://nationalpost.com/opinion/mark-carney-is-not-cut-out-for-the-top-job, nationalpost.com, Political Campaign, Negative
2023-11-02, Mark Carney says he hasn’t ruled out Liberal leadership run, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/11/02/mark-carney-says-he-hasnt-ruled-out-liberal-leadership-run/, nationalnewswatch.com, Leadership Campaign, Neutral
2024-01-17, Mark Carney sees 'massive disconnect' in green finance rhetoric, Mark Carney says there’s money to be made investing in green energy and financiers who say otherwise aren’t paying attention. Read on., https://financialpost.com/fp-finance/mark-carney-massive-disconnect-green-finance-rhetoric, financialpost.com, Political Commentary, Negative
2024-07-11, "Mark Carney would be ‘outstanding’ addition to federal politics,  Trudeau says", "OTTAWA — Prime Minister Justin Trudeau says former Bank of Canada governor Mark Carney would be an “outstanding addition” to federal politics,  and that he...", https://toronto.citynews.ca/2024/07/11/mark-carney-would-be-outstanding-addition-to-federal-politics-trudeau-says/, 680news.com, Leadership Campaign, Positive
2024-07-15, What would Mark Carney as finance minister mean for Canada's climate ambitions?, Will Mark Carney join the Liberal’s inner ranks to become finance minister is a question feeding speculation across the country’s pundit class. But what wou..., https://www.nationalobserver.com/2024/07/15/analysis/mark-carney-finance-minister-canada-climate-ambitions, nationalobserver.com, Political Commentary, Neutral
2024-07-19, "Who is Mark Carney,  and why is Justin Trudeau courting him? - National", Mark Carney is being openly courted by Prime Minister Justin Trudeau. Here's why the former Bank of Canada governor might end up a star candidate for the Libera..., https://globalnews.ca/news/10631423/who-is-mark-carney-liberals-justin-trudeau-chrystia-freeland/, globalnews.ca, Leadership Campaign, Neutral
2024-09-09, Former Bank of Canada Governor Mark Carney to join Liberal Party as special adviser: sources, "Former Bank of Canada Governor Mark Carney will be joining the Liberal Party as a special adviser,  sources tell CTV News.", https://www.ctvnews.ca/politics/article/former-bank-of-canada-governor-mark-carney-to-join-liberal-party-as-special-adviser/, cp24.com, Leadership Campaign, Neutral
2024-09-09, Mark Carney joins Liberals' economic growth task force, "Mark Carney is joining the Liberal Party of Canada to help develop the party's economic strategy. In a news release issued Monday,  the party said Carney will ch...", https://www.cbc.ca/news/politics/mark-carney-liberals-economic-task-force-1.7317833?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2024-09-10, Mark Carney joins Liberals as economic advisor, "Former Bank of Canada governor Mark Carney will present his vision for the Liberals' economic policy when he meets with MPs in Nanaimo,  B.C.,  today.", https://www.nationalobserver.com/2024/09/10/news/mark-carney-liberals-economic-advisor, nationalobserver.com, Political Commentary, Neutral
2024-09-10, "Mark Carney mum on carbon-tax advice,  future in politics at Liberal retreat", Former Bank of Canada governor Mark Carney says he'll be advising the Liberal party to flip some the challenges posed by an increasingly divided and dangerous w..., https://www.cp24.com/news/2024/09/10/mark-carney-mum-on-carbon-tax-advice-future-in-politics-at-liberal-retreat/, cp24.com, Political Commentary, Neutral
2024-10-03, "Mark Carney to release book ‘The Hinge’,  a look at Canada’s ‘path forward’", "Breaking News,  Sports,  Manitoba,  Canada", https://www.winnipegfreepress.com/arts-and-life/entertainment/celebrities/2024/10/03/mark-carney-to-release-book-the-hinge-a-look-at-canadas-path-forward, winnipegfreepress.com, National Development, Neutral
2024-10-22, Mark Carney says he’s ‘taking steps’ for possible electoral run - National, Mark Carney signalled he's considering a future electoral run while also taking shots at Conservative Leader Pierre Poilievre in a recent interview., https://globalnews.ca/news/10824065/mark-carney-electoral-run/, globalnews.ca, Leadership Campaign, Neutral
2024-12-19, Raymond J. de Souza: Mark Carney for Conservative finance minister, Good players can play for different teams — especially when a coaching change is coming, https://nationalpost.com/opinion/raymond-j-de-souza-mark-carney-for-conservative-finance-minister, nationalpost.com, Political Commentary, Neutral
2025-01-08, Mark Carney would struggle to distance himself from the Trudeau era, "Mark Carney,  the former governor of the Bank of Canada and Bank of England,  is still deciding whether he wants the Liberal crown. But if Liberals have any hope ...", https://www.nationalobserver.com/2025/01/08/analysis/liberal-leadership-mark-carney-distance-trudeau-era, nationalobserver.com, Leadership Campaign, Neutral
2025-01-14, Chris Selley: Mark Carney on The Daily Show — why?, "That show from 2008? On cable television,  which no one under 35 subscribes to?", https://nationalpost.com/opinion/chris-selley-mark-carney-daily-show, nationalpost.com, Political Commentary, Negative
2025-01-15, Mark Carney to launch bid for the Liberal leadership in Edmonton on Thursday, "Mark Carney will launch his candidacy for the Liberal Party leadership at an event in Edmonton on Thursday,  according to a notice from Calgary Skyview MP George...", https://www.cbc.ca/news/politics/mark-carney-launch-liberal-edmonton-1.7431603?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-01-16, Mark Carney is expected to announce his Liberal leadership bid today from Alberta, Former finance minister Chrystia Freeland and government House leader Karina Gould are also expected to enter the race in the coming days., https://www.nationalobserver.com/2025/01/16/news/mark-carney-announce-liberal-leadership-bid-alberta, nationalobserver.com, Leadership Campaign, Neutral
2025-01-16, Mark Carney launching his Liberal leadership bid from Alberta, "OTTAWA — Mark Carney is set to unveil his Liberal leadership campaign this afternoon in Edmonton,  ending nearly a decade of speculation about his political am...", https://toronto.citynews.ca/2025/01/16/mark-carney-launching-his-liberal-leadership-bid-from-alberta/, 680news.com, Leadership Campaign, Positive
2025-01-20, Liberal leadership race: Mark Carney vs. Chrystia Freeland, The two frontrunners vying to replace Justin Trudeau as Prime Minister and Liberal Party leader have officially launched their campaigns., https://toronto.citynews.ca/2025/01/20/liberal-leadership-race-carney-freeland-big-story-podcast/, 680news.com, Leadership Campaign, Neutral
2025-01-21, "Guilbeault,  other cabinet ministers back Mark Carney as next Liberal leader", "Former central banker Mark Carney picked up a handful of cabinet endorsements on Tuesday,  including from the government's most vocal climate champion,  as the Li...", https://www.cbc.ca/news/politics/guilbeault-carney-freeland-endorsements-1.7437240?cmp=rss, cbc.ca, Leadership Campaign, Positive
