title, url, source_name, topic, sentiment
Mark Carney meeting with China's president a 'turning point', https://torontosun.com/news/national/mark-carney-meets-china-president-xi, torontosun, International Relations, Neutral
Xi and Carney meeting in South Korea try to rebuild China-Canada relations, https://apnews.com/article/china-canada-xi-carney-apec-ace80262b0e54460f6994bf48322abed, apnews, International Relations, Neutral
Canada should tread cautiously in renewing China ties, https://torontosun.com/news/canada-china-caution, torontosun, International Relations and Diplomacy, Negative
Mark Carney mending diplomatic fences with China at APEC, https://financialpost.com/news/carney-mending-fences-china-apec, financialpost, International Relations & Diplomacy, Neutral
Trump says Canada trade talks won't resume contradicting Wright, https://financialpost.com/news/trump-canada-trade-talks-wont-resume, financialpost, Trade Disputes, Negative
Ottawa’s big promise to tackle dirty money: Can it deliver this time?, https://winnipegsun.com/news/ottawas-big-promise-to-tackle-dirty-money-can-it-deliver-this-time, winnipegsun, Financial Crime Regulations, Negative
Carney says meeting with Xi marks turning point in Canada-China relationship, https://www.castanet.net/news/Canada/581315/Analysts-say-Carney-Xi-meeting-set-right-tone-urge-caution-on-next-steps, castanent, International Relations, Neutral
Canadian PM Mark Carney apologized for anti-tariff Reagan ad Trump says, https://nypost.com/2025/10/31/us-news/canadian-pm-mark-carney-apologized-for-anti-tariff-reagan-ad-trump-says/, New York Post, International Disputes, Negative
‘It’s not always a straight line’: Sask. premier positive about China trade talks, https://globalnews.ca/news/11505077/saskatchewan-moe-trade-china-carney/, globalnews, International Relations, Positive
Canada can't get Chinese tariffs lifted right away Carney says, https://financialpost.com/news/carney-canada-china-tariffs, financialpost, International Trades, Negative
Spurned by Trump Carney Begins Thawing Canada’s China Connection, https://www.nytimes.com/2025/11/01/world/canada/canada-china-carney-xi.html, New York Times, International Trades, Neutral
Carney wraps up Asia trip looking ahead to first federal budget next week, https://www.castanet.net/news/Canada/581456/Carney-wraps-up-Asia-trip-looking-ahead-to-first-federal-budget-next-week, castanet, Federal Budget, Neutral
Canadian PM Carney says he told Ontario's premier not to run anti-tariff ad that upset Trump, https://www.marketbeat.com/articles/canadian-prime-minister-says-he-told-ontarios-premier-not-to-run-anti-tariff-ad-that-upset-trump-2025-11-01/, marketbeat, International Disputes, Negative
Carney says China doesn’t grasp Canada’s concern over issues of foreign interference, https://globalnews.ca/news/11506376/carney-china-president-xi-meeting/, globalnews, International Relations, Neutral
Carney says he told Ontario premier not to run anti-tariff ad apologized to Trump, https://financialpost.com/pmn/carney-says-he-told-ontario-premier-not-to-run-anti-tariff-ad-apologized-to-trump-2, financialpost, International Disputes, Negative
How U.S. Supreme Court's tariff decision could impact Canada, https://torontosun.com/news/national/how-u-s-supreme-courts-tariff-decision-could-impact-canada, torontosun, US Tariffs, Neutral
LILLEY: Carney looks weak in the Ford-Trump ad controversy, https://winnipegsun.com/opinion/lilley-carney-looks-weak-in-the-ford-trump-ad-controversy, winnipegsun, International Disputes, Negative
BUDGET 2025: What to look for in Mark Carney's first budget, https://torontosun.com/news/national/budget-2025-101, torontosun, Federal Budget, Neutral
Pierre Poilievre calls for fiscal sanity as Budget 2025 looms, https://torontosun.com/news/national/pierre-poilievre-calls-for-fiscal-sanity-as-budget-2025-looms, torontosun, Federal Budget, Negative
Killing the Canada Goose, https://canadafreepress.com/article/killing-the-canada-goose, canadafreepress, Environmental Policy, Negative
FIRST READING: Comparing how Pierre Poilievre and Mark Carney talk to young people, https://nationalpost.com/opinion/first-reading-comparing-how-pierre-poilievre-and-mark-carney-talk-to-young-people, nationalpost, Elections, Neutral
How Carney’s 1st budget will be different from others, https://globalnews.ca/news/11508604/mark-carneys-first-budget-different/, globalnews, Federal Budget, Neutral
Ford says Carney asked him to remove anti-tariff ad early ‘a couple of times’, https://globalnews.ca/news/11508575/carney-ask-ford-remove-reagan-tariff-ad/, globalnews, International Disputes, Negative
Feds to unveil proposed changes to EV sales mandate this winter, https://canadianunderwriter.ca/news/auto/feds-to-unveil-proposed-changes-to-ev-sales-mandate-this-winter/, canadianunderwriter, Environmental Policy, Neutral
Owe Canada: Everything you need to know about Canada's $1.28 trillion (and counting) federal debt, https://financialpost.com/news/canadas-budget-2025-federal-debt-rising, financialpost, Federal Debt, Negative
LILLEY: 5 tax changes Mark Carney should make but probably won't, https://winnipegsun.com/uncategorized/lilley-5-tax-changes-mark-carney-should-make-but-probably-wont, winnipegsun, Tax Policy, Neutral
Ford says trade negotiation ‘falls on’ federal government after commercial controversy, https://globalnews.ca/news/11510405/doug-ford-says-mark-carney-runs-trade-talks/, globalnews, Trade Disputes, Neutral
What's missing from the Carney government's first federal budget, https://winnipegsun.com/pmn/whats-missing-from-the-carney-governments-first-federal-budget, winnipegsun, Federal Budget, Neutral
John Robson: Mark Carney's deficit exploding budget is elbows up IQs down, https://nationalpost.com/opinion/john-robson-mark-carneys-deficit-exploding-budget-is-elbows-up-iqs-down, nationalpost, Federal Budget, Negative
Canada Set to Add $119 Billion to Deficits as Growth Stalls, https://financialpost.com/pmn/business-pmn/canada-set-to-add-119-billion-to-deficits-as-growth-stalls, financialpost, Federal Debt, Negative
Canada budget 2025 in its own words, https://financialpost.com/news/economy/read-canada-budget-2025, financialpost, Federal Budget, Negative
What to Know About Canada’s New Budget, https://www.nytimes.com/2025/11/04/world/canada/what-to-know-canada-budget.html, New York Times, Federal Budget, Negative
EDITORIAL: Prime minister banks on debt to boost Canada's economy, https://torontosun.com/opinion/editorials/editorial-prime-minister-banks-on-debt-to-boost-canadas-economy, torontosun, Federal Debt, Negative
Federal budget reveals Carney government is considering privatizing airports, https://financialpost.com/transportation/canada-budget-2025-mark-carney-open-privatizing-airports, financialpost, Federal Budget, Negative
In the news today: Post-budget sales pitch begins Prince Harry to visit Toronto, https://winnipegsun.com/pmn/in-the-news-today-post-budget-sales-pitch-begins-prince-harry-to-visit-toronto, winnipegsun, Federal Budget, Neutral
Prime Minister Carney thanks Nova Scotia MP d’Entremont for joining Liberal caucus, https://meridiansource.ca/2025/11/05/prime-minister-carney-thanks-nova-scotia-mp-dentremont-for-joining-liberal-caucus/, meridiansource, Political Party Affairs, Positive
Taxpayers Federation slams Budget 2025 for soaring deficit rising debt and expanded carbon tax, https://winnipegsun.com/news/taxpayers-federation-slams-budget-2025-for-soaring-deficit-rising-debt-and-expanded-carbon-tax, winnipegsun, Federal Debt, Negative
Carney calls floor-crossing ex-Conservative MP ‘exceptionally valuable’, https://globalnews.ca/news/11512179/mark-carney-chris-dentremont-floor-crossing/, globalnews, Political Party Affairs, Positive
Joe Rogan says Trump 'ruined Canada' by helping Mark Carney win, https://torontosun.com/news/national/joe-rogan-trump-ruined-canada-mark-carney-win, torontosun, Global Political Influence, Neutral
'Rome wasn't built in a day': Canadians will have to wait for boost from Carney's budget say economists, https://financialpost.com/news/economy/canada-budget-take-time-to-boost-economy, financialpost, Federal Budget, Negative
Letters to the Editor Nov. 6 2025, https://torontosun.com/opinion/letters/letters-to-the-editor-nov-6-2025, torontosun, Public Sentiment on Government, Neutral
Bloc NDP vote with Liberals in first of three confidence budget votes, https://nationalpost.com/news/bloc-ndp-to-vote-with-liberals-in-first-of-three-confidence-budget-votes, nationalpost, Political Party Affairs, Neutral
BATRA’S BURNING QUESTIONS: Caucus changing Conservative distracts from Liberal budget, https://torontosun.com/news/batras-burning-questions-caucus-changing-conservative-distracts-from-liberal-budget, torontosun, Political Party Affair, Neutral
Canada's Conservatives Lose Another Lawmaker on Eve of Budget Vote, https://financialpost.com/pmn/business-pmn/carneys-conservative-rival-loses-second-lawmaker-in-three-days, financialpost, Political Party Affairs, Neutral
Bad week for the Conservatives puts Pierre Poilievre on the defensive, https://globalnews.ca/news/11516879/pierre-poilievres-bad-week/, globalnews, Political Party Affairs, Positive
Carney tells business crowd a new pipeline project is ‘going to happen’, https://globalnews.ca/news/11517423/fedbudget-pipeline/, globalnews, Oil Pipeline, Negative
